panel,model_year,engine_family,carryover_family,lineage_root,lineage_depth
nonroad,2015,FKHXL3.36EST,,FKHXL3.36EST,0
nonroad,2015,FH3XL2.22AB6,EH3XL2.22AB6,EH3XL2.22AB6,1
nonroad,2015,FJDXL04.5214,DJDXL04.5214,DJDXL04.5214,1
nonroad,2016,GFPXL04.5DTD,FFPXL04.5DTD,CFPXL04.5DTD,4
nonroad,2015,FH3XL2.22TD3,,FH3XL2.22TD3,0
nonroad,2015,FVWXL02.0CPY,DVWXL02.0CPY,DVWXL02.0CPY,1
nonroad,2015,FCEXL03.3ACK,ECEXL03.3ACK,ECEXL03.3ACK,1
nonroad,2015,FDZXL03.6060,,FDZXL03.6060,0
nonroad,2015,FDZXL07.1032,EDZXL07.1032,CDZXL07.1032,3
nonroad,2015,FVPXL16.1CDC,,FVPXL16.1CDC,0
nonroad,2016,GCPXL15.2NYS,FCPXL15.2NYS,CCPXL15.2NYS,4
nonroad,2015,FPKXL7.01BL1,,FPKXL7.01BL1,0
nonroad,2016,GYDXL3.32C4T,CYDXL3.32C4T,CYDXL3.32C4T,1
nonroad,2016,GKLXL15.2EDC,EKLXL15.2EDC,EKLXL15.2EDC,1
nonroad,2016,GVPXL16.1ADA,FVPXL16.1ADA,CVPXL16.1ADA,4
nonroad,2016,GKLXL06.7AAM,EKLXL06.7AAM,EKLXL06.7AAM,1
nonroad,2015,FLHAL24.2VZC,DLHAL24.2VZC,DLHAL24.2VZC,1
nonroad,2016,GFPXL06.7SCB,FFPXL06.7SCB,FFPXL06.7SCB,1
nonroad,2016,GPKXL04.4NL1,FPKXL04.4NL1,CPKXL04.4NL1,4
nonroad,2016,GMVXL01.3EEE,EMVXL01.3EEE,EMVXL01.3EEE,1
nonroad,2016,GKBXL03.6BAC,,GKBXL03.6BAC,0
nonroad,2016,GKBXL.325KCB,DKBXL.325KCB,DKBXL.325KCB,1
nonroad,2016,GKBXL.719KCC,DKBXL.719KCC,DKBXL.719KCC,1
nonroad,2016,GKBXL.898KCB,DKBXL.898KCB,DKBXL.898KCB,1
nonroad,2016,GKBXL01.5BCC,DKBXL01.5BCC,DKBXL01.5BCC,1
nonroad,2016,GKBXL02.4EKD,DKBXL02.4EKD,DKBXL02.4EKD,1
nonroad,2016,GKBXL02.6GND,DKBXL02.6GND,DKBXL02.6GND,1
nonroad,2016,GKBXL03.8CKD,DKBXL03.8CKD,DKBXL03.8CKD,1
nonroad,2016,GH3XL2.22NLT,FH3XL2.22NLT,CH3XL2.22NLT,4
nonroad,2016,GH3XL2.22TCC,FH3XL2.22TCC,CH3XL2.22TCC,4
nonroad,2016,GH3XL2.22TIC,FH3XL2.22TIC,CH3XL2.22TIC,4
nonroad,2015,FCPXL78.1NSF,,FCPXL78.1NSF,0
nonroad,2016,GKHXL3.36TCR,FKHXL3.36TCR,FKHXL3.36TCR,1
nonroad,2015,FH3XL1.49F2V,,FH3XL1.49F2V,0
nonroad,2016,GTIEL01.81ZS,FTIEL01.81ZS,ETIEL01.81ZS,2
nonroad,2016,GCPXL7.01HPF,FCPXL7.01HPF,FCPXL7.01HPF,1
nonroad,2016,GMMLL02.7C38,EMMLL02.7C38,EMMLL02.7C38,1
nonroad,2015,FPKXL04.4MT1,,FPKXL04.4MT1,0
nonroad,2015,FPKXL04.4NR1,,FPKXL04.4NR1,0
nonroad,2016,GMMLL02.6N67,DMMLL02.6N67,DMMLL02.6N67,1
nonroad,2015,FPKXL07.0BN1,EPKXL07.0BN1,EPKXL07.0BN1,1
nonroad,2015,FMDDL21.0XWM,,FMDDL21.0XWM,0
nonroad,2016,GYDXL1.27NUA,DYDXL1.27NUA,DYDXL1.27NUA,1
nonroad,2015,FVSXL10.8T4F,,FVSXL10.8T4F,0
nonroad,2015,FDZXL06.1049,,FDZXL06.1049,0
nonroad,2016,GLGCL01.9L3C,FLGCL01.9L3C,FLGCL01.9L3C,1
nonroad,2015,FJDXL13.5310,,FJDXL13.5310,0
nonroad,2015,FCPXL32.0HXF,ECPXL32.0HXF,CCPXL32.0HXA,3
nonroad,2016,GH3XL2.22ABT,FH3XL2.22ABT,EH3XL2.22ABT,2
nonroad,2016,GCEXL0540AAB,FCEXL0540AAB,CCEXL0540AAB,2
