panel,model_year,engine_family,engine_code,engine_test_model,pollutant,test_type,cert_result,units,fel,standard,adj_result,fcl
nonroad,2014,EH3XL2.22N4T,404D-22T,,NMHC,steady_state,0.08,g/kW-hr,,,,
nonroad,2014,EDZXL04.1013,C4FI115D,,NMHC,steady_state,0.03,g/kW-hr,,,,
nonroad,2014,EMVXL65.4BBB,S16R-Y2PTAW2-A,,NMHC,steady_state,0.53,g/kW-hr,,,,
nonroad,2013,DCPXL18.1NZS,CERT TEST 1,,NMHC,steady_state,0.08,g/kW-hr,,,,
nonroad,2013,DCPXL18.1NZS,CERT TEST 1,,NMHC,steady_state,0.09,g/kW-hr,,,,
nonroad,2014,EHZXL.517M51,ts-B50-3000,,NMHC,steady_state,0.36,g/kW-hr,,,,
nonroad,2014,ECPXL08.8NZS,CERT TEST 1,,NMHC,steady_state,0.24,g/kW-hr,,,,
nonroad,2014,EDZXL04.8029,D3UC100,,NMHC,steady_state,0.2,g/kW-hr,,,,
nonroad,2014,EDZXL07.1026,D3UC151,,NMHC,steady_state,0.15,g/kW-hr,,,,
nonroad,2013,DPKXL7.01BL1,1,,NMHC,steady_state,0.0,g/kW-hr,,,,
nonroad,2014,EY9XL16.4DBA,2 257 387,,NMHC,steady_state,0.08,g/kW-hr,,,,
nonroad,2014,EKMCL1.72AN3,A1700N3,,NMHC,steady_state,0.25,g/kW-hr,,,,
nonroad,2014,EH3XL2.22TF3,EP49/2600B,,NMHC,steady_state,0.09,g/kW-hr,,,,
nonroad,2015,FFPXL04.5DTD,F4CE9454H*J,,NMHC,steady_state,0.12,g/kW-hr,,,,
nonroad,2015,FFPXL08.7TR3,F2CE9684F*E,,NMHC,steady_state,0.16,g/kW-hr,,,,
nonroad,2015,FFPXL03.4CDC,F5DFL414A*E,,NMHC,steady_state,0.01,g/kW-hr,,,,
nonroad,2014,EYDXL1.64NGA,,,NMHC,steady_state,0.88,g/kW-hr,,,,
nonroad,2014,EY9XL09.3DAA,2 133 497,,NMHC,steady_state,0.01,g/kW-hr,,,,
nonroad,2014,EMVXL49.0BBA,S12R-Y2PTAW-1,,NMHC,steady_state,0.58,g/kW-hr,,,,
nonroad,2014,EH3XL2.22CN3,N844L-D,,NMHC,steady_state,0.22,g/kW-hr,,,,
nonroad,2014,EH3XL2.22CN4,404D-22T,,NMHC,steady_state,0.08,g/kW-hr,,,,
nonroad,2014,EDICL01.8LEA,DL01-LEL00,,NMHC,steady_state,0.0,g/kW-hr,,,,
nonroad,2015,FKLXL06.7AAM,4458:FR94557,,NMHC,steady_state,0.0,g/kW-hr,,,,
nonroad,2015,FCPXL15.2NYS,CERT TEST 2,,NMHC,steady_state,0.08,g/kW-hr,,,,
nonroad,2015,FCPXL15.2NYS,CERT TEST 2,,NMHC,steady_state,0.08,g/kW-hr,,,,
nonroad,2015,FPKXL04.4NM1,1,,NMHC,steady_state,0.14,g/kW-hr,,,,
nonroad,2015,FPKXL04.4NL1,1,,NMHC,steady_state,0.13,g/kW-hr,,,,
nonroad,2015,FPKXL04.4NL1,1,,NMHC,steady_state,0.21,g/kW-hr,,,,
nonroad,2015,FPKXL04.4NJ1,1,,NMHC,steady_state,0.17,g/kW-hr,,,,
nonroad,2015,FPKXL04.4NH1,1,,NMHC,steady_state,0.21,g/kW-hr,,,,
nonroad,2015,FFPXL08.7CLA,F2CFE614A*B,,NMHC,steady_state,0.0,g/kW-hr,,,,
nonroad,2015,FH3XL2.22L84,N844L-D,,NMHC,steady_state,0.32,g/kW-hr,,,,
nonroad,2015,FH3XL2.22N4T,404D-22T,,NMHC,steady_state,0.08,g/kW-hr,,,,
nonroad,2015,FH3XL1.49F2C,N315-18C,,NMHC,steady_state,0.42,g/kW-hr,,,,
nonroad,2014,EMVXL02.2AAA,3CJ-TAY431IA,,NMHC,steady_state,0.12,g/kW-hr,,,,
nonroad,2015,FTIEL03.01KD,,,NMHC,steady_state,0.09,g/kW-hr,,,,
nonroad,2015,FFPXL03.4FSD,F5GFL414J*B,,NMHC,steady_state,0.0,g/kW-hr,,,,
nonroad,2015,FKHXL.34935D,,,NMHC,steady_state,1.47,g/kW-hr,,,,
nonroad,2015,FKHXL1.259LD,,,NMHC,steady_state,1.12,g/kW-hr,,,,
nonroad,2015,FKHXL2.48ESM,,,NMHC,steady_state,0.42,g/kW-hr,,,,
nonroad,2014,ECPXL18.1HZA,CERT TEST 1,,NMHC,steady_state,0.09,g/kW-hr,,,,
nonroad,2014,ECPXL18.1HXF,CERT TEST 1,,NMHC,steady_state,0.03,g/kW-hr,,,,
nonroad,2015,FMMLL02.7C42,CE-42,,NMHC,steady_state,0.37,g/kW-hr,,,,
nonroad,2015,FMMLL02.7C40,CE-40,,NMHC,steady_state,0.34,g/kW-hr,,,,
nonroad,2015,FVPXL16.1ADA,1,,NMHC,steady_state,0.11,g/kW-hr,,,,
nonroad,2015,FVPXL16.1ACG,1,,NMHC,steady_state,0.11,g/kW-hr,,,,
nonroad,2014,EJDXL09.0301,6090HPRNT4,,NMHC,steady_state,0.0,g/kW-hr,,,,
nonroad,2015,FKMCL1.17A33,,,NMHC,steady_state,0.1,g/kW-hr,,,,
nonroad,2015,FFPXL03.4ESD,F5GFL413E*B,,NMHC,steady_state,0.0,g/kW-hr,,,,
nonroad,2015,FPKXL06.6PJ2,1,,NMHC,steady_state,0.13,g/kW-hr,,,,
nonroad,2014,EMDDL57.2XTC,7242,,NMHC,steady_state,0.09,g/kW-hr,,,,
nonroad,2014,EVPXL10.8CJA,3,,NMHC,steady_state,0.02,g/kW-hr,,,,
nonroad,2015,FHZXL.997M40,ts-2G40-IFN-3000,,NMHC,steady_state,0.8,g/kW-hr,,,,
nonroad,2014,ECPXL09.3HPA,CERT TEST 1,,NMHC,steady_state,0.03,g/kW-hr,,,,
nonroad,2015,FMVXL03.3AAJ,S4S-Y3DT61SD,,NMHC,steady_state,0.24,g/kW-hr,,,,
nonroad,2014,ECPXL27.0HZA,CERT TEST 1,,NMHC,steady_state,0.15,g/kW-hr,,,,
nonroad,2014,ECPXL27.0HXF,CERT TEST 2,,NMHC,steady_state,0.04,g/kW-hr,,,,
nonroad,2015,FDCLL01.8F7D,3009/2600,,NMHC,steady_state,0.01,g/kW-hr,,,,
nonroad,2015,FMBXL04.8RJC,OM924LA.E3A/3,,NMHC,steady_state,0.1,g/kW-hr,,,,
nonroad,2015,FDZXL03.6018,C4DI55F,,NMHC,steady_state,0.01,g/kW-hr,,,,
nonroad,2015,FFPXL03.4ADD,F5HFL413B*A,,NMHC,steady_state,0.0,g/kW-hr,,,,
nonroad,2015,FCPXL18.1NYS,CERT TEST 2,,NMHC,steady_state,0.11,g/kW-hr,,,,
nonroad,2015,FKMCL1.72A31,A1700N3,,NMHC,steady_state,0.12,g/kW-hr,,,,
nonroad,2015,FKHXL2.48EST,,,NMHC,steady_state,0.18,g/kW-hr,,,,
nonroad,2015,FKHXL2.48EST,,,NMHC,steady_state,0.19,g/kW-hr,,,,
nonroad,2015,FKHXL3.36EST,,,NMHC,steady_state,0.12,g/kW-hr,,,,
nonroad,2015,FH3XL2.22AB6,404D-22T,,NMHC,steady_state,0.13,g/kW-hr,,,,
nonroad,2016,GFPXL04.5DTD,F4CE9454H*J,,NMHC,steady_state,0.12,g/kW-hr,,,,
nonroad,2015,FH3XL2.22TD3,N4LDI-T,,NMHC,steady_state,0.69,g/kW-hr,,,,
nonroad,2015,FVWXL02.0CPY,CPYA,,NMHC,steady_state,0.0,g/kW-hr,,,,
nonroad,2015,FCEXL03.3ACK,FR30231,,NMHC,steady_state,0.32,g/kW-hr,,,,
nonroad,2015,FDZXL03.6060,CFXI100D,,NMHC,steady_state,0.0,g/kW-hr,,,,
nonroad,2015,FDZXL07.1032,D3CC250,,NMHC,steady_state,0.07,g/kW-hr,,,,
nonroad,2015,FVPXL16.1CDC,1,,NMHC,steady_state,0.0,g/kW-hr,,,,
nonroad,2016,GCPXL15.2NYS,CERT TEST 2,,NMHC,steady_state,0.08,g/kW-hr,,,,
nonroad,2015,FPKXL7.01BL1,1,,NMHC,steady_state,0.02,g/kW-hr,,,,
nonroad,2016,GKLXL15.2EDC,5C01,,NMHC,steady_state,0.0,g/kW-hr,,,,
nonroad,2016,GVPXL16.1ADA,1,,NMHC,steady_state,0.11,g/kW-hr,,,,
nonroad,2016,GKLXL06.7AAM,4458:FR94557,,NMHC,steady_state,0.0,g/kW-hr,,,,
nonroad,2016,GFPXL06.7SCB,F4DFE6138*A,,NMHC,steady_state,0.03,g/kW-hr,,,,
nonroad,2016,GPKXL04.4NL1,PARENT-3454/1800,,NMHC,steady_state,0.21,g/kW-hr,,,,
nonroad,2016,GMVXL01.3EEE,S3L2-G2500,,NMHC,steady_state,0.3,g/kW-hr,,,,
