panel,model_year,engine_family,engine_model,engine_code,displacement_l,certification_fuel,engine_operation,test_procedure,test_procedure_type
nonroad,2013,DNFXL03.0DD1,ZD30,ZD30K01N,2.9530000000000003,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2013,DKMCL1.17A33,A1100N1,,1.175,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 6-Mode Cycle,Discrete-Modal Testing
nonroad,2013,DDZXL04.8024,TAD 560 VE,C4SI129,4.764,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2013,DKHXL.442155,15LD440/D,,0.441,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 6-Mode Cycle,Discrete-Modal Testing
nonroad,2013,DMVXL01.0EEE,L3E,L3E-GENE,0.9530000000000001,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2013,DDZXL02.9020,TD2.9L4,C4DI55C,2.9250000000000003,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2013,DDCLL01.8F7T,3F183T,4318/2600,1.826,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2014,ESIDL03.3G7A,33AWI.788,1,3.298,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2013,DMVXL03.3GGG,D04EG-TAA,D04EG-74kW-1,3.331,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2013,DHZXL.445V43,1D42 S/Z,ts-D42-3000,0.445,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 6-Mode Cycle,Discrete-Modal Testing
nonroad,2014,EKLXL23.2FD5,SAA6D170E2-3,2G06,23.152,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2014,EKLXL23.2FD5,SAA6D170E2-3,2C01,23.152,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2014,ECEXL023.AAB,QSK23-G7 NR2,CPL2621FR50047,23.152,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2013,DMMLL02.7NEF,VNE343,VNE343,2.649,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2014,EJDXL02.9216,3029T,3029TPY24,2.94,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2014,EKHXL.34935D,KD350/D,,0.34900000000000003,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 6-Mode Cycle,Discrete-Modal Testing
nonroad,2013,DMMLL02.7C49,CE-49,CE-49,2.7310000000000003,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2013,DCPXL08.8NZS,C9,CERT TEST 2,8.808,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2013,DCPXL08.8NZS,C9,CERT TEST 1,8.808,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2014,EVPXL16.1ACB,TAD1642GE,1,16.123,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2013,DPKXL06.6PJ2,2660/1800,1,6.598000000000001,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2014,ECEXL13.0AAA,QSZ13-G7,3836:FR20454,12.981,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2014,EVSXL12.8T4F,D13J,13-42,12.777000000000001,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2014,ECEXL60.0AAA,QSK60,3915:FR6961,60.361000000000004,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2014,EDICL05.8HTB,DL06KB,DL06-LDL01,5.89,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2013,DYDXL1.50L3T,,,,,,,
nonroad,2013,DYDXL2.00L4T,,,,,,,
nonroad,2013,DCPXL18.1NYS,C18,CERT TEST 1,18.131,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2013,DVPXL16.1CDA,TWD1663GE,1,16.123,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2014,EKBXL.325KCB,,,,,,,
nonroad,2013,DKBXL.719KCB,Z482-EF,Z482-EF01,0.47900000000000004,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 6-Mode Cycle,Ramped-Modal Testing
nonroad,2014,EPKXL06.6PJ1,2694/1800,1,6.598000000000001,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2013,DPKXL18.1TAG,2806C-E18TAG3,1,18.131,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2013,DCPXL15.2HZA,C15,CERT TEST 1,15.213000000000001,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Ramped-Modal Testing
nonroad,2013,DCPXL18.1HZA,C18,CERT TEST 1,18.131,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2013,DLHAL7.01SZC,,,,,,,
nonroad,2014,EH3XL1.13SLC,GJ26/3000C,403D-11,1.1320000000000001,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2014,EH3XL1.49N3C,GK18/1500C,403D-15,1.496,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2013,DKBXL02.6END,V2607-CR-EF,V2607-CR-EF01,2.616,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2014,EKBXL03.3BCC,,,,,,,
nonroad,2012,CCPXL18.1NZS,C18,Cert Test 1,18.1,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2013,DCPXL15.2NYS,C15,CERT TEST 1,15.213000000000001,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2014,EKBXL03.8AKD,,,,,,,
nonroad,2013,DMMLL02.7M40,UT-48,UT-48,2.7310000000000003,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2014,EICLL1.12B3X,E3112,6285-885-308-**,1.124,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2014,EYDXL0.99NUA,,,,,,,
nonroad,2014,EJCBL04.4TA9,,,,,,,
nonroad,2014,ECPXL15.2NYS,C15,CERT TEST 1,15.213000000000001,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
